当前帧率,关键点,X,Y
1,0,0.4863472878932953,0.27227815985679626
1,1,0.4792717695236206,0.25723761320114136
1,2,0.47753530740737915,0.2566986083984375
1,3,0.4757422208786011,0.25617581605911255
1,4,0.4801580607891083,0.25829458236694336
1,5,0.47922050952911377,0.25856244564056396
1,6,0.4781414270401001,0.25882869958877563
1,7,0.46150848269462585,0.26496028900146484
1,8,0.4675294756889343,0.26739972829818726
1,9,0.483242005109787,0.28721854090690613
1,10,0.4833051860332489,0.2878798842430115
1,11,0.4081765413284302,0.35218387842178345
1,12,0.4893944561481476,0.36268436908721924
1,13,0.36605703830718994,0.44458383321762085
1,14,0.5292534828186035,0.45865947008132935
1,15,0.39928263425827026,0.43047377467155457
1,16,0.5793138146400452,0.39821237325668335
1,17,0.4015198051929474,0.4290446937084198
1,18,0.5936734676361084,0.3862512707710266
1,19,0.4079571068286896,0.4277576804161072
1,20,0.5912951827049255,0.37469929456710815
1,21,0.40897926688194275,0.4254383444786072
1,22,0.5856626033782959,0.37853115797042847
1,23,0.4177596867084503,0.5566216111183167
1,24,0.47079476714134216,0.5548024773597717
1,25,0.3791961073875427,0.6513545513153076
1,26,0.5538040995597839,0.638247013092041
1,27,0.36938345432281494,0.7754560708999634
1,28,0.5392491817474365,0.7873769998550415
1,29,0.3705292046070099,0.8030818104743958
1,30,0.5278478860855103,0.8149186372756958
1,31,0.3717941641807556,0.7766481637954712
1,32,0.5787182450294495,0.8137577176094055
